studentid,academic_year,att_pct,n_demerits,course_number,term,grade_pct,failed_course
681,2014,95,9,ENG05,Q1,90,
681,2014,88,11,ENG05,Q2,50,
681,2014,88,11,HIST45,Q2,71,
681,2014,95,9,HIST45,Q1,82,
681,2014,95,9,MATH32,Q1,67,
681,2014,88,11,MATH32,Q2,72,
811,2014,66,49,FREN20,Q2,50,
811,2014,71,39,FREN20,Q1,61,
811,2014,71,39,SCI20,Q1,74,
811,2014,66,49,SCI20,Q2,58,
1047,2014,62,12,HIST20,Q2,50,
1047,2014,83,33,HIST20,Q1,71,
1054,2014,95,13,MATH33,Q1,91,
1054,2014,94,16,MATH33,Q2,76,
1059,2014,93,9,ENG05,Q1,55,
1059,2014,94,24,ENG05,Q2,92,
1065,2014,100,4,SCI35,Q1,83,
1065,2014,100,2,SCI35,Q2,76,
1071,2014,95,26,ENG40,Q1,70,
1071,2014,94,26,ENG40,Q2,81,
1071,2014,94,26,GYM33,Q2,100,
1071,2014,95,26,GYM33,Q1,99,
1071,2014,95,26,HIST41,Q1,92,
1071,2014,94,26,HIST41,Q2,89,
1071,2014,95,26,MATH32,Q1,84,
1083,2014,90,9,ENG45,Q1,89,
1083,2014,84,10,ENG45,Q2,80,
1083,2014,84,10,SCI41,Q2,73,
1083,2014,90,9,SCI41,Q1,82,
1088,2014,96,18,MATH22,Q2,85,
1088,2014,98,13,MATH22,Q1,82,
1094,2014,86,20,HIST40,Q1,74,
1094,2014,90,32,HIST40,Q2,62,
1094,2014,90,32,MATH22,Q2,67,
1094,2014,86,20,MATH22,Q1,72,
1098,2014,94,11,ENG45,Q2,85,
1098,2014,98,4,ENG45,Q1,86,
1098,2014,98,4,THE13,Q1,93,
1098,2014,94,11,THE13,Q2,98,
1109,2014,95,11,ENG05,Q1,93,
1109,2014,92,5,ENG05,Q2,114,
1109,2014,92,5,HIST45,Q2,80,
1109,2014,95,11,HIST45,Q1,80,
1109,2014,95,11,MATH32,Q1,71,
1109,2014,92,5,MATH32,Q2,66,
1115,2014,94,31,HIST35,Q2,79,
1115,2014,83,21,HIST35,Q1,78,
1117,2014,83,37,GYM20,Q1,90,
1117,2014,82,41,GYM20,Q2,70,
1118,2014,88,30,HIST41,Q2,91,
1118,2014,90,15,HIST41,Q1,83,
1118,2014,90,15,MATH32,Q1,78,
1118,2014,88,30,MATH32,Q2,82,
1120,2014,88,34,SCI32,Q2,76,
1120,2014,95,42,SCI32,Q1,85,
1125,2014,88,20,ENG20,Q1,73,
1125,2014,88,8,ENG20,Q2,71,
1125,2014,88,8,MATH22,Q2,67,
1125,2014,88,20,MATH22,Q1,77,
1125,2014,88,20,RHET20,Q1,88,
1125,2014,88,8,RHET20,Q2,72,
1126,2014,96,25,ENG05,Q2,100,
1126,2014,95,19,ENG05,Q1,77,
1128,2014,82,43,MATH22,Q2,76,
1128,2014,93,26,MATH22,Q1,84,
1128,2014,93,26,MATH32,Q1,74,
1128,2014,82,43,MATH32,Q2,73,
1134,2014,98,9,GYM33,Q1,99,
1134,2014,92,36,GYM33,Q2,91,
1140,2014,95,4,MATH22,Q1,67,
1140,2014,94,5,MATH22,Q2,72,
1142,2014,95,40,RHET30,Q1,55,
1142,2014,92,62,RHET30,Q2,56,
668,2014,92,35,ENG40,Q2,72,
668,2014,86,45,ENG40,Q1,75,
668,2014,86,45,MATH22,Q1,71,
668,2014,92,35,MATH22,Q2,77,
668,2014,92,35,MATH33,Q2,85,
668,2014,86,45,MATH33,Q1,76,
1053,2014,100,30,HIST20,Q1,72,
1053,2014,100,25,HIST20,Q2,55,
1053,2014,100,25,MATH01,Q2,96,
1053,2014,100,30,MATH01,Q1,100,
1053,2014,100,30,SCI20,Q1,75,
1053,2014,100,25,SCI20,Q2,72,
1053,2014,100,25,THE13,Q2,71,
1053,2014,100,30,THE13,Q1,80,
1054,2014,94,16,GYM33,Q2,88,
1054,2014,95,13,GYM33,Q1,95,
1061,2014,90,38,RHET30,Q2,72,
1061,2014,95,25,RHET30,Q1,67,
1065,2014,100,2,ENG05,Q2,100,
1065,2014,100,4,ENG05,Q1,100,
1070,2014,93,5,ENG05,Q1,71,
1070,2014,96,10,ENG05,Q2,100,
1070,2014,96,10,ENG45,Q2,83,
1070,2014,93,5,ENG45,Q1,84,
1070,2014,93,5,MATH42,Q1,100,
1070,2014,96,10,MATH42,Q2,100,
1072,2014,81,28,SCI30,Q1,79,
1072,2014,94,35,SCI30,Q2,83,
1076,2014,100,8,ENG05,Q1,87,
1076,2014,100,7,ENG05,Q2,93,
1083,2014,84,10,MATH40,Q2,70,
1083,2014,90,9,MATH40,Q1,73,
1085,2014,100,14,GYM31,Q2,100,
1085,2014,100,12,GYM31,Q1,96,
1090,2014,98,44,MATH44,Q2,50,
1090,2014,88,41,MATH44,Q1,68,
1090,2014,88,41,WRI72,Q1,95,
1090,2014,98,44,WRI72,Q2,79,
1094,2014,86,20,ENG05,Q1,50,
1094,2014,90,32,ENG05,Q2,82,
1096,2014,84,21,ENG05,Q2,100,
1096,2014,98,14,ENG05,Q1,50,
1096,2014,98,14,SCI41,Q1,85,
1096,2014,84,21,SCI41,Q2,85,
1105,2014,98,12,ENG05,Q1,100,
1105,2014,98,17,ENG05,Q2,100,
1113,2014,66,54,HIST45,Q2,86,
1113,2014,79,63,HIST45,Q1,67,
1120,2014,88,34,MATH32,Q2,73,
1120,2014,95,42,MATH32,Q1,80,
1120,2014,95,42,STUDY45,Q1,103,
1120,2014,88,34,STUDY45,Q2,79,
1125,2014,88,20,ENG05,Q1,50,
1125,2014,88,8,ENG05,Q2,50,
1125,2014,88,20,SCI20,Q1,77,
1125,2014,88,8,SCI31,Q2,50,
1134,2014,92,36,ENG40,Q2,80,
1134,2014,98,9,ENG40,Q1,75,
1134,2014,98,9,HIST41,Q1,80,
1134,2014,92,36,HIST41,Q2,90,
1138,2014,92,19,ENG40,Q2,81,
1138,2014,98,18,ENG40,Q1,73,
1138,2014,98,18,HIST41,Q1,96,
1138,2014,92,19,HIST41,Q2,83,
1140,2014,94,5,SCI30,Q2,58,
1140,2014,95,4,SCI30,Q1,56,
1142,2014,95,40,HIST20,Q1,81,
1142,2014,92,62,HIST20,Q2,50,
1142,2014,92,62,SCI20,Q2,72,
1142,2014,95,40,SCI20,Q1,77,
1157,2014,98,3,ENG05,Q1,63,
1157,2014,96,1,ENG05,Q2,100,
1158,2014,94,2,MATH44,Q2,82,
1158,2014,100,5,MATH44,Q1,71,
1170,2014,95,5,SCI36,Q1,80,
1170,2014,98,28,SCI36,Q2,83,
1172,2014,100,1,MATH44,Q1,74,
1172,2014,100,1,SCI36,Q1,80,
1175,2014,98,6,MATH44,Q1,79,
1172,2014,100,1,ENG05,Q1,60,
1187,2014,94,35,HIST20,Q2,77,
1187,2014,98,22,HIST20,Q1,87,
1187,2014,98,22,HIST41,Q1,89,
1187,2014,94,35,HIST41,Q2,81,
1190,2014,98,38,MATH40,Q1,73,
1190,2014,86,54,MATH40,Q2,70,
1193,2014,98,9,FREN30,Q2,84,
1193,2014,98,15,FREN30,Q1,90,
1195,2014,98,18,HIST41,Q1,85,
1195,2014,88,13,HIST41,Q2,80,
1198,2014,72,25,ENG05,Q2,50,
1198,2014,86,21,ENG05,Q1,50,
1199,2014,82,43,HIST41,Q2,88,
1199,2014,86,30,HIST41,Q1,82,
1203,2014,93,27,GYM33,Q1,100,
1203,2014,84,28,GYM33,Q2,98,
1205,2014,80,60,MATH32,Q2,71,
1205,2014,93,26,MATH32,Q1,70,
1210,2014,78,32,GYM30,Q2,91,
1210,2014,81,30,GYM30,Q1,58,
1210,2014,81,30,SCI32,Q1,89,
1210,2014,78,32,SCI32,Q2,74,
1214,2014,88,17,MATH01,Q2,95,
1214,2014,88,11,MATH01,Q1,100,
1222,2014,94,46,ENG20,Q2,82,
1222,2014,93,22,ENG20,Q1,79,
1222,2014,93,22,RHET20,Q1,77,
1222,2014,94,46,RHET20,Q2,78,
1224,2014,100,19,STUDY45,Q2,76,
1224,2014,98,6,STUDY45,Q1,50,
1226,2014,62,40,GYM31,Q1,65,
1226,2014,60,73,GYM31,Q2,71,
1226,2014,60,73,SCI30,Q2,66,
1226,2014,62,40,SCI30,Q1,79,
1230,2014,90,15,HIST45,Q1,76,
1230,2014,94,22,HIST45,Q2,82,
1574,2014,80,22,GYM31,Q2,90,
1574,2014,76,16,GYM31,Q1,87,
1575,2014,98,13,FREN12,Q2,81,
1575,2014,98,14,FREN12,Q1,86,
1576,2014,94,15,MATH35,Q2,62,
1576,2014,98,9,MATH35,Q1,76,
1582,2014,92,56,FREN20,Q2,64,
1582,2014,98,27,FREN20,Q1,81,
1584,2014,76,16,HIST20,Q1,68,
1584,2014,98,33,HIST20,Q2,62,
1584,2014,98,33,RHET30,Q2,54,
1584,2014,76,16,RHET30,Q1,61,
1584,2014,76,16,SCI30,Q1,70,
1584,2014,98,33,SCI30,Q2,70,
1602,2014,88,8,ARAB20,Q1,70,
1602,2014,88,8,ENG05,Q1,50,
1602,2014,88,8,MATH10,Q1,64,
1604,2014,88,41,ENG30,Q2,74,
1604,2014,79,38,ENG30,Q1,70,
1604,2014,79,38,SCI20,Q1,71,
1604,2014,88,41,SCI20,Q2,72,
1604,2014,88,41,SPAN20,Q2,58,
1604,2014,79,38,SPAN20,Q1,65,
1605,2014,86,31,SCI36,Q2,80,
1605,2014,90,20,SCI36,Q1,96,
1605,2014,90,20,SPAN30,Q1,90,
1605,2014,86,31,SPAN30,Q2,82,
1606,2014,88,7,RHET30,Q1,80,
1606,2014,98,1,RHET30,Q2,85,
1607,2014,93,11,HIST30,Q1,80,
1607,2014,94,6,HIST30,Q2,82,
1608,2014,90,75,MATH01,Q1,50,
1608,2014,90,75,RHET10,Q1,74,
1608,2014,84,89,RHET10,Q2,50,
1608,2014,84,89,SCI20,Q2,63,
1608,2014,90,75,SCI20,Q1,52,
1617,2014,95,32,ENG05,Q1,50,
